CYP	Drug Identifier	Isoform	CYP-Isoform
2D6	dopamine	2	2D6-2
1A2	doxepin	1	1A2-1
1A2	doxepin	2	1A2-2
2C19	doxepin	1	2C19-1
2C9	doxepin	1	2C9-1
2C9	doxepin	2	2C9-2
2D6	doxepin	1	2D6-1
2D6	doxepin	2	2D6-2
3A4	doxepin	1	3A4-1
1A2	duloxetine	1	1A2-1
1A2	duloxetine	2	1A2-2
2D6	duloxetine	1	2D6-1
2D6	duloxetine	2	2D6-2
1A2	ergotamine	1	1A2-1
1A2	ergotamine	2	1A2-2
3A4	ergotamine	1	3A4-1
1A2	estropipate	1	1A2-1
1A2	estropipate	2	1A2-2
2C8	estropipate	1	2C8-1
2C8	estropipate	2	2C8-2
2C9	estropipate	1	2C9-1
2C9	estropipate	2	2C9-2
2E1	estropipate	1	2E1-1
3A4	estropipate	1	3A4-1
1A2	ethanol	1	1A2-1
1A2	ethanol	2	1A2-2
2E1	ethanol	1	2E1-1
3A4	ethanol	1	3A4-1
1A2	etoposide	1	1A2-1
1A2	etoposide	2	1A2-2
2E1	etoposide	1	2E1-1
3A4	etoposide	1	3A4-1
3A5	etoposide	1	3A5-1
3A5	etoposide	2	3A5-2
1A2	flecainide	1	1A2-1
1A2	flecainide	2	1A2-2
2D6	flecainide	1	2D6-1
2D6	flecainide	2	2D6-2
1A2	flunitrazepam	1	1A2-1
1A2	flunitrazepam	2	1A2-2
2A6	flunitrazepam	1	2A6-1
2B6	flunitrazepam	1	2B6-1
2B6	flunitrazepam	2	2B6-2
2C19	flunitrazepam	1	2C19-1
2C9	flunitrazepam	1	2C9-1
2C9	flunitrazepam	2	2C9-2
3A4	flunitrazepam	1	3A4-1
1A2	fluorouracil	1	1A2-1
1A2	fluorouracil	2	1A2-2
2A6	fluorouracil	1	2A6-1
2C8	fluorouracil	1	2C8-1
2C8	fluorouracil	2	2C8-2
1A2	fluoxetine	1	1A2-1
1A2	fluoxetine	2	1A2-2
2B6	fluoxetine	1	2B6-1
2B6	fluoxetine	2	2B6-2
2C19	fluoxetine	1	2C19-1
2C8	fluoxetine	1	2C8-1
2C8	fluoxetine	2	2C8-2
2C9	fluoxetine	1	2C9-1
2C9	fluoxetine	2	2C9-2
2D6	fluoxetine	1	2D6-1
2D6	fluoxetine	2	2D6-2
2E1	fluoxetine	1	2E1-1
3A4	fluoxetine	1	3A4-1
1A2	fluvoxamine	1	1A2-1
1A2	fluvoxamine	2	1A2-2
2D6	fluvoxamine	1	2D6-1
2D6	fluvoxamine	2	2D6-2
2E1	fluvoxamine	1	2E1-1
1A2	frovatriptan	1	1A2-1
1A2	frovatriptan	2	1A2-2
1A2	griseofulvin	1	1A2-1
1A2	griseofulvin	2	1A2-2
1A2	guaiazulen	1	1A2-1
1A2	guaiazulen	2	1A2-2
1A2	guanabenz	1	1A2-1
1A2	guanabenz	2	1A2-2
1A2	hexobarbital	1	1A2-1
1A2	hexobarbital	2	1A2-2
2C19	hexobarbital	1	2C19-1
2C9	hexobarbital	1	2C9-1
2C9	hexobarbital	2	2C9-2
3A4	hexobarbital	1	3A4-1
1A2	idebenone	1	1A2-1
1A2	idebenone	2	1A2-2
1A2	imipramine	1	1A2-1
1A2	imipramine	2	1A2-2
2B6	imipramine	1	2B6-1
2B6	imipramine	2	2B6-2
2C19	imipramine	1	2C19-1
2D6	imipramine	1	2D6-1
2D6	imipramine	2	2D6-2
3A4	imipramine	1	3A4-1
3A7	imipramine	1	3A7-1
3A7	imipramine	2	3A7-2
1A2	imipramine oxide	1	1A2-1
1A2	imipramine oxide	2	1A2-2
3A4	imipramine oxide	1	3A4-1
1A2	imiquimod	1	1A2-1
1A2	imiquimod	2	1A2-2
3A4	imiquimod	1	3A4-1
1A2	levobupivacaine	1	1A2-1
1A2	levobupivacaine	2	1A2-2
3A4	levobupivacaine	1	3A4-1
1A2	lomefloxacin	1	1A2-1
1A2	lomefloxacin	2	1A2-2
1A2	lumiracoxib	1	1A2-1
1A2	lumiracoxib	2	1A2-2
2C19	lumiracoxib	1	2C19-1
2C9	lumiracoxib	1	2C9-1
2C9	lumiracoxib	2	2C9-2
1A2	malathion	1	1A2-1
1A2	malathion	2	1A2-2
2B6	malathion	1	2B6-1
2B6	malathion	2	2B6-2
1A2	maprotiline	1	1A2-1
1A2	maprotiline	2	1A2-2
2D6	maprotiline	1	2D6-1
2D6	maprotiline	2	2D6-2
1A2	methoxyflurane	1	1A2-1
1A2	methoxyflurane	2	1A2-2
2A6	methoxyflurane	1	2A6-1
2B6	methoxyflurane	1	2B6-1
2B6	methoxyflurane	2	2B6-2
2C9	methoxyflurane	1	2C9-1
2C9	methoxyflurane	2	2C9-2
2D6	methoxyflurane	1	2D6-1
2D6	methoxyflurane	2	2D6-2
2E1	methoxyflurane	1	2E1-1
3A4	methoxyflurane	1	3A4-1
1A2	methyldopa (levorotatory)	1	1A2-1
1A2	methyldopa (levorotatory)	2	1A2-2
2D6	methyldopa (levorotatory)	1	2D6-1
2D6	methyldopa (levorotatory)	2	2D6-2
1A2	mexiletine	1	1A2-1
1A2	mexiletine	2	1A2-2
2B6	mexiletine	1	2B6-1
2B6	mexiletine	2	2B6-2
2D6	mexiletine	1	2D6-1
2D6	mexiletine	2	2D6-2
2E1	mexiletine	1	2E1-1
3A4	mexiletine	1	3A4-1
1A2	mianserin	1	1A2-1
1A2	mianserin	2	1A2-2
2B6	mianserin	1	2B6-1
2B6	mianserin	2	2B6-2
2D6	mianserin	1	2D6-1
2D6	mianserin	2	2D6-2
3A4	mianserin	1	3A4-1
1A2	mirtazapine	1	1A2-1
1A2	mirtazapine	2	1A2-2
2C8	mirtazapine	1	2C8-1
2C8	mirtazapine	2	2C8-2
2C9	mirtazapine	1	2C9-1
2C9	mirtazapine	2	2C9-2
2D6	mirtazapine	1	2D6-1
2D6	mirtazapine	2	2D6-2
3A4	mirtazapine	1	3A4-1
1A2	nabumetone	1	1A2-1
1A2	nabumetone	2	1A2-2
1A2	naproxen	1	1A2-1
1A2	naproxen	2	1A2-2
2C8	naproxen	1	2C8-1
2C8	naproxen	2	2C8-2
2C9	naproxen	1	2C9-1
2C9	naproxen	2	2C9-2
1A2	nortriptyline	1	1A2-1
1A2	nortriptyline	2	1A2-2
2C19	nortriptyline	1	2C19-1
2D6	nortriptyline	1	2D6-1
2D6	nortriptyline	2	2D6-2
3A4	nortriptyline	1	3A4-1
1A2	olanzapine	1	1A2-1
1A2	olanzapine	2	1A2-2
2D6	olanzapine	1	2D6-1
2D6	olanzapine	2	2D6-2
1A2	ondansetron	1	1A2-1
1A2	ondansetron	2	1A2-2
2C9	ondansetron	1	2C9-1
2C9	ondansetron	2	2C9-2
2D6	ondansetron	1	2D6-1
2D6	ondansetron	2	2D6-2
2E1	ondansetron	1	2E1-1
3A4	ondansetron	1	3A4-1
3A5	ondansetron	1	3A5-1
3A5	ondansetron	2	3A5-2
3A7	ondansetron	1	3A7-1
3A7	ondansetron	2	3A7-2
1A2	pantoprazole	1	1A2-1
1A2	pantoprazole	2	1A2-2
2C19	pantoprazole	1	2C19-1
3A4	pantoprazole	1	3A4-1
1A2	paraoxon	1	1A2-1
1A2	paraoxon	2	1A2-2
2C8	paraoxon	1	2C8-1
2C8	paraoxon	2	2C8-2
2E1	paraoxon	1	2E1-1
3A4	paraoxon	1	3A4-1
3A5	paraoxon	1	3A5-1
3A5	paraoxon	2	3A5-2
1A2	pentamidine isethionate	1	1A2-1
1A2	pentamidine isethionate	2	1A2-2
2C8	pentamidine isethionate	1	2C8-1
2C8	pentamidine isethionate	2	2C8-2
2D6	pentamidine isethionate	1	2D6-1
2D6	pentamidine isethionate	2	2D6-2
3A4	pentamidine isethionate	1	3A4-1
1A2	pentoxifylline	1	1A2-1
1A2	pentoxifylline	2	1A2-2
1A2	perphenazine	1	1A2-1
1A2	perphenazine	2	1A2-2
2B6	perphenazine	1	2B6-1
2B6	perphenazine	2	2B6-2
2C19	perphenazine	1	2C19-1
2C8	perphenazine	1	2C8-1
2C8	perphenazine	2	2C8-2
2C9	perphenazine	1	2C9-1
2C9	perphenazine	2	2C9-2
2D6	perphenazine	1	2D6-1
2D6	perphenazine	2	2D6-2
3A4	perphenazine	1	3A4-1
1A2	phenazone	1	1A2-1
1A2	phenazone	2	1A2-2
2A6	phenazone	1	2A6-1
2B6	phenazone	1	2B6-1
2B6	phenazone	2	2B6-2
2C19	phenazone	1	2C19-1
2C8	phenazone	1	2C8-1
2C8	phenazone	2	2C8-2
2C9	phenazone	1	2C9-1
2C9	phenazone	2	2C9-2
2D6	phenazone	1	2D6-1
2D6	phenazone	2	2D6-2
2E1	phenazone	1	2E1-1
3A4	phenazone	1	3A4-1
1A2	pimozide	1	1A2-1
1A2	pimozide	2	1A2-2
3A4	pimozide	1	3A4-1
3A5	pimozide	1	3A5-1
3A5	pimozide	2	3A5-2
3A7	pimozide	1	3A7-1
3A7	pimozide	2	3A7-2
1A2	pirfenidone	1	1A2-1
1A2	pirfenidone	2	1A2-2
1A2	praziquantel	1	1A2-1
1A2	praziquantel	2	1A2-2
2C19	praziquantel	1	2C19-1
3A4	praziquantel	1	3A4-1
3A5	praziquantel	1	3A5-1
3A5	praziquantel	2	3A5-2
3A7	praziquantel	1	3A7-1
3A7	praziquantel	2	3A7-2
1A2	primaquine	1	1A2-1
1A2	primaquine	2	1A2-2
3A4	primaquine	1	3A4-1
1A2	proguanil	1	1A2-1
1A2	proguanil	2	1A2-2
2C19	proguanil	1	2C19-1
2C9	proguanil	1	2C9-1
2C9	proguanil	2	2C9-2
2E1	proguanil	1	2E1-1
3A4	proguanil	1	3A4-1
1A2	promazine	1	1A2-1
1A2	promazine	2	1A2-2
2C19	promazine	1	2C19-1
3A4	promazine	1	3A4-1
1A2	propafenone	1	1A2-1
1A2	propafenone	2	1A2-2
2D6	propafenone	1	2D6-1
2D6	propafenone	2	2D6-2
3A4	propafenone	1	3A4-1
1A2	propofol	1	1A2-1
1A2	propofol	2	1A2-2
2A6	propofol	1	2A6-1
2B6	propofol	1	2B6-1
2B6	propofol	2	2B6-2
2C19	propofol	1	2C19-1
2C8	propofol	1	2C8-1
2C8	propofol	2	2C8-2
2C9	propofol	1	2C9-1
2C9	propofol	2	2C9-2
2D6	propofol	1	2D6-1
2D6	propofol	2	2D6-2
2E1	propofol	1	2E1-1
3A4	propofol	1	3A4-1
1A2	propranolol	1	1A2-1
1A2	propranolol	2	1A2-2
2C19	propranolol	1	2C19-1
2D6	propranolol	1	2D6-1
2D6	propranolol	2	2D6-2
3A4	propranolol	1	3A4-1
3A5	propranolol	1	3A5-1
3A5	propranolol	2	3A5-2
3A7	propranolol	1	3A7-1
3A7	propranolol	2	3A7-2
1A2	pyrazinamide	1	1A2-1
1A2	pyrazinamide	2	1A2-2
3A4	pyrazinamide	1	3A4-1
1A2	ranitidine	1	1A2-1
1A2	ranitidine	2	1A2-2
2C19	ranitidine	1	2C19-1
2D6	ranitidine	1	2D6-1
2D6	ranitidine	2	2D6-2
1A2	rasagiline	1	1A2-1
1A2	rasagiline	2	1A2-2
1A2	retinol (vit a)	1	1A2-1
1A2	retinol (vit a)	2	1A2-2
2C8	retinol (vit a)	1	2C8-1
2C8	retinol (vit a)	2	2C8-2
2E1	retinol (vit a)	1	2E1-1
3A4	retinol (vit a)	1	3A4-1
1A2	rifabutin	1	1A2-1
1A2	rifabutin	2	1A2-2
3A4	rifabutin	1	3A4-1
1A2	rifampicin	1	1A2-1
1A2	rifampicin	2	1A2-2
2A6	rifampicin	1	2A6-1
2B6	rifampicin	1	2B6-1
2B6	rifampicin	2	2B6-2
2C19	rifampicin	1	2C19-1
2C8	rifampicin	1	2C8-1
2C8	rifampicin	2	2C8-2
2C9	rifampicin	1	2C9-1
2C9	rifampicin	2	2C9-2
2D6	rifampicin	1	2D6-1
2D6	rifampicin	2	2D6-2
2E1	rifampicin	1	2E1-1
3A4	rifampicin	1	3A4-1
3A5	rifampicin	1	3A5-1
3A5	rifampicin	2	3A5-2
1A2	ritonavir	1	1A2-1
1A2	ritonavir	2	1A2-2
2B6	ritonavir	1	2B6-1
2B6	ritonavir	2	2B6-2
2D6	ritonavir	1	2D6-1
2D6	ritonavir	2	2D6-2
3A4	ritonavir	1	3A4-1
3A5	ritonavir	1	3A5-1
3A5	ritonavir	2	3A5-2
3A7	ritonavir	1	3A7-1
3A7	ritonavir	2	3A7-2
1A2	rofecoxib	1	1A2-1
1A2	rofecoxib	2	1A2-2
2C8	rofecoxib	1	2C8-1
2C8	rofecoxib	2	2C8-2
2C9	rofecoxib	1	2C9-1
2C9	rofecoxib	2	2C9-2
1A2	ropinirole	1	1A2-1
1A2	ropinirole	2	1A2-2
3A4	ropinirole	1	3A4-1
1A2	ropivacaine	1	1A2-1
1A2	ropivacaine	2	1A2-2
2B6	ropivacaine	1	2B6-1
2B6	ropivacaine	2	2B6-2
2D6	ropivacaine	1	2D6-1
2D6	ropivacaine	2	2D6-2
3A4	ropivacaine	1	3A4-1
1A2	selegiline	1	1A2-1
1A2	selegiline	2	1A2-2
2A6	selegiline	1	2A6-1
2B6	selegiline	1	2B6-1
2B6	selegiline	2	2B6-2
2C19	selegiline	1	2C19-1
2C8	selegiline	1	2C8-1
2C8	selegiline	2	2C8-2
2C9	selegiline	1	2C9-1
2C9	selegiline	2	2C9-2
2D6	selegiline	1	2D6-1
2D6	selegiline	2	2D6-2
3A4	selegiline	1	3A4-1
1A2	sertraline	1	1A2-1
1A2	sertraline	2	1A2-2
2B6	sertraline	1	2B6-1
2B6	sertraline	2	2B6-2
2C19	sertraline	1	2C19-1
2C9	sertraline	1	2C9-1
2C9	sertraline	2	2C9-2
2D6	sertraline	1	2D6-1
2D6	sertraline	2	2D6-2
3A4	sertraline	1	3A4-1
1A2	tacrine	1	1A2-1
1A2	tacrine	2	1A2-2
1A2	tegafur	1	1A2-1
1A2	tegafur	2	1A2-2
2A6	tegafur	1	2A6-1
2C8	tegafur	1	2C8-1
2C8	tegafur	2	2C8-2
2E1	tegafur	1	2E1-1
3A5	tegafur	1	3A5-1
3A5	tegafur	2	3A5-2
1A2	telithromycin	1	1A2-1
1A2	telithromycin	2	1A2-2
3A4	telithromycin	1	3A4-1
3A5	telithromycin	1	3A5-1
3A5	telithromycin	2	3A5-2
3A7	telithromycin	1	3A7-1
3A7	telithromycin	2	3A7-2
1A2	temafloxacin	1	1A2-1
1A2	temafloxacin	2	1A2-2
1A2	terbinafine	1	1A2-1
1A2	terbinafine	2	1A2-2
2C19	terbinafine	1	2C19-1
2C8	terbinafine	1	2C8-1
2C8	terbinafine	2	2C8-2
2C9	terbinafine	1	2C9-1
2C9	terbinafine	2	2C9-2
3A4	terbinafine	1	3A4-1
1A2	theobromine	1	1A2-1
1A2	theobromine	2	1A2-2
2E1	theobromine	1	2E1-1
1A2	thioridazine	1	1A2-1
1A2	thioridazine	2	1A2-2
2C19	thioridazine	1	2C19-1
2D6	thioridazine	1	2D6-1
2D6	thioridazine	2	2D6-2
1A2	tiabendazole	1	1A2-1
1A2	tiabendazole	2	1A2-2
1A2	tiotixene	1	1A2-1
1A2	tiotixene	2	1A2-2
1A2	tizanidine	1	1A2-1
1A2	tizanidine	2	1A2-2
1A2	tolperisone	1	1A2-1
1A2	tolperisone	2	1A2-2
2C19	tolperisone	1	2C19-1
2D6	tolperisone	1	2D6-1
2D6	tolperisone	2	2D6-2
1A2	triamterene	1	1A2-1
1A2	triamterene	2	1A2-2
1A2	trichloroethylene	1	1A2-1
1A2	trichloroethylene	2	1A2-2
2E1	trichloroethylene	1	2E1-1
3A4	trichloroethylene	1	3A4-1
1A2	trifluoperazine	1	1A2-1
1A2	trifluoperazine	2	1A2-2
1A2	verapamil	1	1A2-1
1A2	verapamil	2	1A2-2
2B6	verapamil	1	2B6-1
2B6	verapamil	2	2B6-2
2C19	verapamil	1	2C19-1
2C8	verapamil	1	2C8-1
2C8	verapamil	2	2C8-2
2C9	verapamil	1	2C9-1
2C9	verapamil	2	2C9-2
3A4	verapamil	1	3A4-1
3A5	verapamil	1	3A5-1
3A5	verapamil	2	3A5-2
3A7	verapamil	1	3A7-1
3A7	verapamil	2	3A7-2
1A2	vincamine	1	1A2-1
1A2	vincamine	2	1A2-2
2D6	vincamine	1	2D6-1
2D6	vincamine	2	2D6-2
2E1	vincamine	1	2E1-1
3A4	vincamine	1	3A4-1
1A2	warfarin	1	1A2-1
1A2	warfarin	2	1A2-2
2C19	warfarin	1	2C19-1
2C8	warfarin	1	2C8-1
2C8	warfarin	2	2C8-2
2C9	warfarin	1	2C9-1
2C9	warfarin	2	2C9-2
3A4	warfarin	1	3A4-1
1A2	ziprasidone	1	1A2-1
1A2	ziprasidone	2	1A2-2
3A4	ziprasidone	1	3A4-1
3A5	ziprasidone	1	3A5-1
3A5	ziprasidone	2	3A5-2
3A7	ziprasidone	1	3A7-1
3A7	ziprasidone	2	3A7-2
1A2	zolmitriptan	1	1A2-1
1A2	zolmitriptan	2	1A2-2
1A2	zolpidem	1	1A2-1
1A2	zolpidem	2	1A2-2
2C19	zolpidem	1	2C19-1
2C9	zolpidem	1	2C9-1
2C9	zolpidem	2	2C9-2
2D6	zolpidem	1	2D6-1
2D6	zolpidem	2	2D6-2
3A4	zolpidem	1	3A4-1
3A5	zolpidem	1	3A5-1
3A5	zolpidem	2	3A5-2
3A7	zolpidem	1	3A7-1
3A7	zolpidem	2	3A7-2
3A4	docetaxel	1	3A4-1
3A5	docetaxel	1	3A5-1
3A5	docetaxel	2	3A5-2
3A7	docetaxel	1	3A7-1
3A7	docetaxel	2	3A7-2
2D6	hydrogen peroxide	1	2D6-1
2D6	hydrogen peroxide	2	2D6-2
2C9	rosuvastatin	1	2C9-1
2C9	rosuvastatin	2	2C9-2
3A4	rosuvastatin	1	3A4-1
2A6	artemisinin	1	2A6-1
2B6	artemisinin	1	2B6-1
2B6	artemisinin	2	2B6-2
3A4	artemisinin	1	3A4-1
2A6	artesunate	1	2A6-1
2A6	chloroform	1	2A6-1
2C19	chloroform	1	2C19-1
2E1	chloroform	1	2E1-1
2A6	chloroxylenol	1	2A6-1
2D6	chloroxylenol	1	2D6-1
2D6	chloroxylenol	2	2D6-2
2E1	chloroxylenol	1	2E1-1
2A6	cinnarizin	1	2A6-1
2B6	cinnarizin	1	2B6-1
2B6	cinnarizin	2	2B6-2
2C9	cinnarizin	1	2C9-1
2C9	cinnarizin	2	2C9-2
2D6	cinnarizin	1	2D6-1
2D6	cinnarizin	2	2D6-2
2A6	clomethiazole	1	2A6-1
2B6	clomethiazole	1	2B6-1
2B6	clomethiazole	2	2B6-2
2C19	clomethiazole	1	2C19-1
3A4	clomethiazole	1	3A4-1
2A6	cyclophosphamide	1	2A6-1
2B6	cyclophosphamide	1	2B6-1
2B6	cyclophosphamide	2	2B6-2
2C19	cyclophosphamide	1	2C19-1
2C8	cyclophosphamide	1	2C8-1
2C8	cyclophosphamide	2	2C8-2
2C9	cyclophosphamide	1	2C9-1
2C9	cyclophosphamide	2	2C9-2
3A4	cyclophosphamide	1	3A4-1
3A7	cyclophosphamide	1	3A7-1
3A7	cyclophosphamide	2	3A7-2
2A6	diethyl ether	1	2A6-1
2A6	formoterol	1	2A6-1
2C19	formoterol	1	2C19-1
2C8	formoterol	1	2C8-1
2C8	formoterol	2	2C8-2
2C9	formoterol	1	2C9-1
2C9	formoterol	2	2C9-2
2D6	formoterol	1	2D6-1
2D6	formoterol	2	2D6-2
2A6	halothane	1	2A6-1
2B6	halothane	1	2B6-1
2B6	halothane	2	2B6-2
2C8	halothane	1	2C8-1
2C8	halothane	2	2C8-2
2C9	halothane	1	2C9-1
2C9	halothane	2	2C9-2
2D6	halothane	1	2D6-1
2D6	halothane	2	2D6-2
2E1	halothane	1	2E1-1
3A4	halothane	1	3A4-1
2A6	ifosfamide	1	2A6-1
2B6	ifosfamide	1	2B6-1
2B6	ifosfamide	2	2B6-2
2C19	ifosfamide	1	2C19-1
2C8	ifosfamide	1	2C8-1
2C8	ifosfamide	2	2C8-2
2C9	ifosfamide	1	2C9-1
2C9	ifosfamide	2	2C9-2
3A4	ifosfamide	1	3A4-1
3A5	ifosfamide	1	3A5-1
3A5	ifosfamide	2	3A5-2
3A7	ifosfamide	1	3A7-1
3A7	ifosfamide	2	3A7-2
2A6	levoverbenone	1	2A6-1
2B6	levoverbenone	1	2B6-1
2B6	levoverbenone	2	2B6-2
2A6	lidocain	1	2A6-1
2B6	lidocain	1	2B6-1
2B6	lidocain	2	2B6-2
2C8	lidocain	1	2C8-1
2C8	lidocain	2	2C8-2
2C9	lidocain	1	2C9-1
2C9	lidocain	2	2C9-2
2D6	lidocain	1	2D6-1
2D6	lidocain	2	2D6-2
3A4	lidocain	1	3A4-1
3A5	lidocain	1	3A5-1
3A5	lidocain	2	3A5-2
3A7	lidocain	1	3A7-1
3A7	lidocain	2	3A7-2
2A6	medifoxamine	1	2A6-1
3A4	medifoxamine	1	3A4-1
2A6	methoxsalen	1	2A6-1
3A4	methoxsalen	1	3A4-1
2A6	nicotinyl alcohol (pyridylcarbinol)	1	2A6-1
2A6	pilocarpin	1	2A6-1
2E1	pilocarpin	1	2E1-1
3A4	pilocarpin	1	3A4-1
2A6	roxatidine	1	2A6-1
2D6	roxatidine	1	2D6-1
2D6	roxatidine	2	2D6-2
2A6	sevoflurane	1	2A6-1
2B6	sevoflurane	1	2B6-1
2B6	sevoflurane	2	2B6-2
2E1	sevoflurane	1	2E1-1
3A4	sevoflurane	1	3A4-1
2A6	thalidomide	1	2A6-1
2B6	thalidomide	1	2B6-1
2B6	thalidomide	2	2B6-2
2C19	thalidomide	1	2C19-1
2C8	thalidomide	1	2C8-1
2C8	thalidomide	2	2C8-2
2C9	thalidomide	1	2C9-1
2C9	thalidomide	2	2C9-2
3A5	thalidomide	1	3A5-1
3A5	thalidomide	2	3A5-2
2A6	tretinoin	1	2A6-1
2B6	tretinoin	1	2B6-1
2B6	tretinoin	2	2B6-2
2C8	tretinoin	1	2C8-1
2C8	tretinoin	2	2C8-2
2C9	tretinoin	1	2C9-1
2C9	tretinoin	2	2C9-2
2A6	valproic acid	1	2A6-1
2C19	valproic acid	1	2C19-1
2C9	valproic acid	1	2C9-1
2C9	valproic acid	2	2C9-2
2A6	zidovudine	1	2A6-1
2C19	zidovudine	1	2C19-1
2C8	zidovudine	1	2C8-1
2C8	zidovudine	2	2C8-2
2C9	zidovudine	1	2C9-1
2C9	zidovudine	2	2C9-2
3A4	zidovudine	1	3A4-1
2B6	brompheniramine	1	2B6-1
2B6	brompheniramine	2	2B6-2
2C19	brompheniramine	1	2C19-1
2C8	brompheniramine	1	2C8-1
2C8	brompheniramine	2	2C8-2
2C9	brompheniramine	1	2C9-1
2C9	brompheniramine	2	2C9-2
2D6	brompheniramine	1	2D6-1
2D6	brompheniramine	2	2D6-2
2E1	brompheniramine	1	2E1-1
3A4	brompheniramine	1	3A4-1
2B6	carbinoxamine	1	2B6-1
2B6	carbinoxamine	2	2B6-2
2C19	carbinoxamine	1	2C19-1
2C8	carbinoxamine	1	2C8-1
2C8	carbinoxamine	2	2C8-2
2C9	carbinoxamine	1	2C9-1
2C9	carbinoxamine	2	2C9-2
2E1	carbinoxamine	1	2E1-1
3A4	carbinoxamine	1	3A4-1
2B6	clobazam	1	2B6-1
2B6	clobazam	2	2B6-2
2C19	clobazam	1	2C19-1
3A4	clobazam	1	3A4-1
2B6	clotiazepam	1	2B6-1
2B6	clotiazepam	2	2B6-2
2C19	clotiazepam	1	2C19-1
3A4	clotiazepam	1	3A4-1
2B6	dextromethorphan	1	2B6-1
2B6	dextromethorphan	2	2B6-2
2C19	dextromethorphan	1	2C19-1
2C8	dextromethorphan	1	2C8-1
2C8	dextromethorphan	2	2C8-2
2C9	dextromethorphan	1	2C9-1
2C9	dextromethorphan	2	2C9-2
2D6	dextromethorphan	1	2D6-1
2D6	dextromethorphan	2	2D6-2
2E1	dextromethorphan	1	2E1-1
3A4	dextromethorphan	1	3A4-1
3A5	dextromethorphan	1	3A5-1
3A5	dextromethorphan	2	3A5-2
3A7	dextromethorphan	1	3A7-1
3A7	dextromethorphan	2	3A7-2
2B6	efavirenz	1	2B6-1
2B6	efavirenz	2	2B6-2
3A4	efavirenz	1	3A4-1
2B6	epinastine	1	2B6-1
2B6	epinastine	2	2B6-2
2D6	epinastine	1	2D6-1
2D6	epinastine	2	2D6-2
3A4	epinastine	1	3A4-1
2B6	esketamine	1	2B6-1
2B6	esketamine	2	2B6-2
2C9	esketamine	1	2C9-1
2C9	esketamine	2	2C9-2
3A4	esketamine	1	3A4-1
2B6	ethylmorphine	1	2B6-1
2B6	ethylmorphine	2	2B6-2
2D6	ethylmorphine	1	2D6-1
2D6	ethylmorphine	2	2D6-2
3A4	ethylmorphine	1	3A4-1
3A7	ethylmorphine	1	3A7-1
3A7	ethylmorphine	2	3A7-2
2B6	irinotecan	1	2B6-1
2B6	irinotecan	2	2B6-2
3A4	irinotecan	1	3A4-1
3A5	irinotecan	1	3A5-1
3A5	irinotecan	2	3A5-2
3A7	irinotecan	1	3A7-1
3A7	irinotecan	2	3A7-2
2B6	isoflurane	1	2B6-1
2B6	isoflurane	2	2B6-2
2E1	isoflurane	1	2E1-1
2B6	ketamine	1	2B6-1
2B6	ketamine	2	2B6-2
2C8	ketamine	1	2C8-1
2C8	ketamine	2	2C8-2
2C9	ketamine	1	2C9-1
2C9	ketamine	2	2C9-2
3A4	ketamine	1	3A4-1
2B6	ketobemidone	1	2B6-1
2B6	ketobemidone	2	2B6-2
2C19	ketobemidone	1	2C19-1
2C8	ketobemidone	1	2C8-1
2C8	ketobemidone	2	2C8-2
2C9	ketobemidone	1	2C9-1
2C9	ketobemidone	2	2C9-2
3A4	ketobemidone	1	3A4-1
2B6	loperamide	1	2B6-1
2B6	loperamide	2	2B6-2
2C8	loperamide	1	2C8-1
2C8	loperamide	2	2C8-2
2D6	loperamide	1	2D6-1
2D6	loperamide	2	2D6-2
3A4	loperamide	1	3A4-1
2B6	methylphenobarbital	1	2B6-1
2B6	methylphenobarbital	2	2B6-2
2C19	methylphenobarbital	1	2C19-1
2B6	methyltestosterone	1	2B6-1
2B6	methyltestosterone	2	2B6-2
3A4	methyltestosterone	1	3A4-1
2B6	midazolam	1	2B6-1
2B6	midazolam	2	2B6-2
3A4	midazolam	1	3A4-1
3A5	midazolam	1	3A5-1
3A5	midazolam	2	3A5-2
3A7	midazolam	1	3A7-1
3A7	midazolam	2	3A7-2
2B6	nevirapine	1	2B6-1
2B6	nevirapine	2	2B6-2
2C9	nevirapine	1	2C9-1
2C9	nevirapine	2	2C9-2
2D6	nevirapine	1	2D6-1
2D6	nevirapine	2	2D6-2
3A4	nevirapine	1	3A4-1
2B6	perhexiline	1	2B6-1
2B6	perhexiline	2	2B6-2
2D6	perhexiline	1	2D6-1
2D6	perhexiline	2	2D6-2
3A4	perhexiline	1	3A4-1
2B6	permethrin	1	2B6-1
2B6	permethrin	2	2B6-2
3A4	permethrin	1	3A4-1
2B6	pethidine	1	2B6-1
2B6	pethidine	2	2B6-2
2C19	pethidine	1	2C19-1
3A4	pethidine	1	3A4-1
2B6	promethazin	1	2B6-1
2B6	promethazin	2	2B6-2
2D6	promethazin	1	2D6-1
2D6	promethazin	2	2D6-2
2B6	temazepam	1	2B6-1
2B6	temazepam	2	2B6-2
2C19	temazepam	1	2C19-1
2C8	temazepam	1	2C8-1
2C8	temazepam	2	2C8-2
2C9	temazepam	1	2C9-1
2C9	temazepam	2	2C9-2
3A4	temazepam	1	3A4-1
2B6	tramadol	1	2B6-1
2B6	tramadol	2	2B6-2
2D6	tramadol	1	2D6-1
2D6	tramadol	2	2D6-2
3A4	tramadol	1	3A4-1
2B6	trofosfamide	1	2B6-1
